,title,name,district,total_price,price,house_type,floor_loc,house_area,house_struc,archi_cate,house_toward,archi_struc,deco_condition,elevator_rate,elevator_equip
0,新上房源 精装修 不靠高架 近地铁一号线 诚意出售,花苑村玉兰园二手房,徐汇,220.0,56981,1室1厅1厨1卫,高楼层 (共6层),38.61,1,1,南,1,1,一梯四户,0
1,售后公房，满五唯一，南北通全明户型，小区中间，求知,龙吴路13弄二手房,徐汇,382.0,63287,2室1厅1厨1卫,低楼层 (共6层),60.36,1,1,西南,1,2,一梯四户,0
2,南北通飞机户型，满五唯一精装修 ，一梯二户高得房率,虹叶茗园二手房,虹口,978.0,84852,2室2厅1厨2卫,低楼层 (共22层),115.26,1,1,南,2,1,一梯两户,1
3,高层电梯房、户型正气、精装修、无增值税、诚意出售,清涧三街坊二手房,普陀,360.0,45329,2室1厅1厨1卫,中楼层 (共24层),79.42,1,2,南 北,2,1,两梯八户,1
4,95年房龄+地铁口+精装修+边套全明+满五唯一+红旗,纪念小区二手房,虹口,420.0,51458,2室1厅1厨1卫,低楼层 (共6层),81.62,1,1,南 北,1,1,一梯四户,0
5,此房满五年 长寿800万以内全明三房，采光无遮挡！诚售,星海大厦二手房,普陀,796.0,66339,3室1厅1厨2卫,高楼层 (共24层),119.99,1,2,南,2,2,三梯六户,1
6,双南户型，采光充足；满五唯一，仅有契税；学籍未占用,梅园三街坊二手房,浦东,575.0,121257,2室1厅1厨1卫,低楼层 (共6层),47.42,1,1,南,1,2,一梯四户,0
7,距离地铁站100米， 精装二房，动迁房，满五年唯一,银泰苑二手房,闵行,359.0,42171,2室1厅1厨1卫,中楼层 (共11层),85.13,1,1,南 北,2,1,一梯两户,1
8,满五， 二房朝南一房朝北，交通便利配套齐全近地铁,玉兰一村二手房,嘉定,202.0,22697,3室1厅1厨1卫,高楼层 (共6层),89.0,1,1,南,1,1,一梯两户,0
9,桂子月中落，天香云外飘，双南两房，枫桥路100米,曹杨七村二手房,普陀,325.0,55528,2室1厅1厨1卫,低楼层 (共6层),58.53,1,1,南,1,2,一梯三户,0
10,一手动迁+满五唯一+得房率高+税费少+带院子,紫晶苑二手房,浦东,340.0,42373,2室1厅1厨1卫,低楼层 (共6层),80.24,1,1,南,2,2,一梯两户,0
11,坦克户型+近地铁+电梯房+中间楼层+09年商品房,上大阳光乾恩园二手房,宝山,650.0,43911,4室2厅1厨2卫,中楼层 (共6层),148.03,1,1,南,2,1,一梯两户,1
12,诚意出售，婚房装修，近地铁，配套成熟,虹霞小区二手房,长宁,296.0,61271,2室1厅1厨1卫,中楼层 (共6层),48.31,1,1,南,1,1,一梯四户,0
13,三林前滩金光小区少有双南小2房，动迁税少,金光小区二手房,浦东,355.0,64817,2室1厅0厨1卫,高楼层 (共6层),54.77,0,1,南,1,1,一梯三户,0
14,内环内滨江加隧道，地铁双规交通便利，满五唯一税费少,巨西小区二手房,浦东,470.0,88763,2室1厅1厨1卫,高楼层 (共6层),52.95,1,1,南 北,1,1,一梯四户,0
15,房源是精装修 拎包入住 看房方便 提前约,大木小区二手房,徐汇,248.0,78259,1室0厅1厨1卫,高楼层 (共6层),31.69,1,1,南,1,1,一梯四户,0
16,新装修，思南路泰康路，自住舒适，诚意出售,汇丽小区二手房,黄浦,585.0,89862,2室1厅1厨1卫,高楼层 (共6层),65.1,1,1,南 北,1,1,一梯五户,0
17,稀有3房 2楼 贴近大自然，业主急售，看房随时,新弘国际城(公寓)二手房,松江,258.0,29206,3室2厅1厨1卫,低楼层 (共18层),88.34,1,1,南,2,3,两梯三户,1
18,双南两房，中间楼层，采光好无遮挡，房东诚意出售,程桥一村二手房,长宁,240.0,52152,2室1厅1厨1卫,中楼层 (共5层),46.02,1,1,南,1,2,一梯四户,0
19,低楼层不爬楼，南北通，双轨地铁,大西小区二手房,虹口,215.0,58424,1室1厅1厨1卫,低楼层 (共6层),36.8,1,1,南,1,2,一梯四户,0
20,内环内花木+小区央位中间层+精装两房+税费少诚意卖,牡丹路186弄二手房,浦东,455.0,68919,2室1厅1厨1卫,高楼层 (共6层),66.02,1,1,南,1,1,一梯三户,0
21,连城新苑品质小区 双轨道交通 安静位置 诚意出售,连城新苑二手房,浦东,540.0,57829,2室2厅1厨1卫,中楼层 (共11层),93.38,1,1,南,2,1,一梯两户,1
22,新上飞机户型三房，婚房装修，边套带全明双卫，诚意卖,大上海国际花园二区二手房,闵行,600.0,60515,3室2厅1厨2卫,中楼层 (共7层),99.15,1,1,南,2,1,一梯两户,0
23,万人之上+冰厂田+好楼层+房龄新+便利近花园+双南户型,梅园五街坊二手房,浦东,635.0,114025,2室1厅1厨1卫,中楼层 (共6层),55.69,1,1,南,1,2,一梯四户,0
24,嘉宝紫提湾(公寓) 3室2厅 450万,嘉宝紫提湾(公寓)二手房,嘉定,450.0,39502,3室2厅1厨1卫,中楼层 (共26层),113.92,1,1,南,2,1,两梯四户,1
25,50万精装不包实木软包电梯八楼景观房北公园南俯视北蔡,锦三角花园(公寓)二手房,浦东,860.0,70858,3室2厅1厨2卫,中楼层 (共11层),121.37,1,1,南,2,1,一梯两户,1
26,玫瑰湾满五唯一，精装楼层佳，价可谈诚售，看房方便,旭辉玫瑰湾二手房,青浦,308.0,34026,2室2厅1厨1卫,高楼层 (共14层),90.52,1,1,南,2,1,一梯两户,1
27,放慢脚步，在房子里享受温暖，坐等你来！,大华锦绣华城(十八街区)(公寓)二手房,浦东,820.0,74702,3室2厅1厨2卫,低楼层 (共18层),109.77,1,1,南,2,2,两梯四户,1
28,稀有j1户型，南北通，自住精装，高区采光好，近别墅区,同润菲诗艾伦二手房,松江,320.0,36012,3室2厅1厨1卫,高楼层 (共11层),88.86,1,1,南,2,1,一梯两户,1
29,内环内 临滨江  精装修 电梯  在建14/18号线 出门即到,陆家嘴滨江公馆二手房,浦东,320.0,64778,1室1厅1厨1卫,中楼层 (共29层),49.4,1,2,南,2,1,三梯九户,1
30,妙栏小区，4楼精装，不靠马路，近地铁,妙栏小区二手房,浦东,310.0,41989,2室2厅1厨1卫,中楼层 (共5层),73.83,1,1,南,1,1,一梯两户,0
31,位置好 沿河景观房/房东诚意出售 离地铁站近,金地褐石苑二手房,松江,343.0,44448,2室2厅1厨1卫,高楼层 (共11层),77.17,1,1,南 北,2,1,一梯两户,1
32,房子自住保养蛮好 满三年  南北通透,合生城邦四街坊二手房,闵行,353.0,39101,2室2厅1厨1卫,中楼层 (共18层),90.28,1,1,南 北,2,1,两梯三户,1
33,南北三房+采光通风极好+业主诚意出售的必看好房,凯翔小区二手房,徐汇,698.0,75240,3室1厅1厨1卫,高楼层 (共18层),92.77,1,2,南 北,2,2,两梯八户,1
34,森兰社区 地铁沿线 南北户型中间楼层位置诚意出售,连城新苑二手房,浦东,535.0,57073,2室2厅1厨1卫,低楼层 (共10层),93.74,1,1,南,2,1,一梯两户,1
35,杨思前滩CBD+中环内精装修带地暖+全明户型落地窗花园,源城锦翠苑二手房,浦东,515.0,70491,2室1厅1厨1卫,中楼层 (共6层),73.06,1,1,南,2,1,一梯两户,0
36,必看好房！边套全明 精装修 满五唯一 近地铁,虹园八村二手房,长宁,330.0,62643,2室1厅0厨1卫,低楼层 (共6层),52.68,0,1,南 北,1,1,一梯四户,0
37,南北两房 中间楼层 1号线800米 交通方便 随时看房,通河二村二手房,宝山,249.0,45224,2室2厅1厨1卫,中楼层 (共6层),55.06,1,1,南,1,2,一梯四户,0
38,店长主推+中间楼层+户型正气+业主诚售,莲花新村二手房,闵行,438.0,50736,3室1厅1厨1卫,中楼层 (共6层),86.33,1,1,南,1,2,一梯两户,0
39,高区视野无遮挡，双南两房，产权清晰，税费少,济阳二村二手房,浦东,358.0,53722,2室1厅1厨1卫,中楼层 (共18层),66.64,1,2,南,2,3,两梯八户,1
40,4号10号线旁海伦路站全明三房，满两年 地段好位置佳,国贸花园二手房,虹口,670.0,62565,3室1厅1厨1卫,低楼层 (共26层),107.09,1,1,东,2,2,两梯四户,1
41,新出笋盘+双南户型+一梯两户+装修清爽+诚心出售,建设公寓二手房,杨浦,440.0,55980,2室1厅0厨1卫,高楼层 (共6层),78.6,1,1,南,2,2,一梯两户,0
42,宝仪花苑 3室1厅 528万,宝仪花苑二手房,闵行,528.0,65323,3室1厅1厨1卫,中楼层 (共6层),80.83,1,1,南,1,1,一梯两户,0
43,低调简欧装修，全明户型，采光效果佳，业主诚意出售,上海康城二手房,闵行,486.0,35501,3室2厅1厨2卫,高楼层 (共13层),136.9,1,1,南 北,2,1,两梯四户,1
44,新凯二期 次顶楼 业主诚售 精心设计改装 方便看房,新凯二期二手房,松江,268.0,34510,2室1厅1厨1卫,高楼层 (共14层),77.66,1,1,南 北,2,1,一梯四户,1
45,南北两房 中间四楼 产权清晰 看房方便,上南六村二手房,浦东,298.0,57089,2室1厅1厨1卫,中楼层 (共6层),52.2,1,1,南 北,1,3,一梯四户,0
46,此房满五年，前后无遮挡，到价签字，诚意出售,明天华城二手房,浦东,455.0,51512,2室2厅1厨1卫,中楼层 (共16层),88.33,1,1,南 北,2,3,两梯三户,1
47,三林版块+户型方正，南北板式两房，小区配套齐全地铁,意凯家苑二手房,浦东,305.0,45085,2室1厅1厨1卫,高楼层 (共6层),67.65,1,1,南,1,1,一梯两户,0
48,无增值税和个税+ 婚房装修+电梯高层无遮挡,大华锦绣华城(十八街区)(公寓)二手房,浦东,705.0,85063,2室2厅1厨1卫,高楼层 (共16层),82.88,0,1,南,2,1,两梯四户,1
49,诚心出售，南北通风无遮挡，精装修可领包入住,宜达新居二手房,青浦,218.0,35974,2室1厅1厨1卫,中楼层 (共6层),60.6,1,1,南 北,1,1,一梯两户,3
50,交通便利，邻地铁和万达广场，双南，精装修,水岸金桥苑二手房,嘉定,290.0,38411,2室2厅1厨1卫,低楼层 (共13层),75.5,1,1,南,2,1,一梯四户,1
51,南北通+小户型+总价低+楼层好+采光足+小区中间位置,梅园五街坊二手房,浦东,560.0,143848,1室1厅1厨1卫,低楼层 (共6层),38.93,1,1,南,1,2,一梯四户,0
52,欧式建筑，得房率高，一梯三户，小区品质高,欧洲花园二手房,虹口,1000.0,73137,3室2厅1厨2卫,高楼层 (共9层),136.73,1,1,南,2,1,一梯四户,1
53,边套全明户型，中间楼层，装修好，诚意出售，看房方便,漕泾一村二手房,徐汇,320.0,80788,1室1厅1厨1卫,中楼层 (共6层),39.61,1,1,南,1,1,一梯四户,0
54,房子满五唯一，一南一北户型，采光好，通风好,朱家门小区二手房,浦东,238.0,44847,2室1厅1厨1卫,高楼层 (共6层),53.07,1,1,南,1,1,一梯四户,0
