,title
0,新上房源 精装修 不靠高架 近地铁一号线 诚意出售
1,售后公房，满五唯一，南北通全明户型，小区中间，求知
2,南北通飞机户型，满五唯一精装修 ，一梯二户高得房率
3,高层电梯房、户型正气、精装修、无增值税、诚意出售
4,95年房龄+地铁口+精装修+边套全明+满五唯一+红旗
5,此房满五年 长寿800万以内全明三房，采光无遮挡！诚售
6,双南户型，采光充足；满五唯一，仅有契税；学籍未占用
7,距离地铁站100米， 精装二房，动迁房，满五年唯一
8,满五， 二房朝南一房朝北，交通便利配套齐全近地铁
9,桂子月中落，天香云外飘，双南两房，枫桥路100米
10,一手动迁+满五唯一+得房率高+税费少+带院子
11,坦克户型+近地铁+电梯房+中间楼层+09年商品房
12,诚意出售，婚房装修，近地铁，配套成熟
13,三林前滩金光小区少有双南小2房，动迁税少
14,内环内滨江加隧道，地铁双规交通便利，满五唯一税费少
15,房源是精装修 拎包入住 看房方便 提前约
16,新装修，思南路泰康路，自住舒适，诚意出售
17,稀有3房 2楼 贴近大自然，业主急售，看房随时
18,双南两房，中间楼层，采光好无遮挡，房东诚意出售
19,低楼层不爬楼，南北通，双轨地铁
20,内环内花木+小区央位中间层+精装两房+税费少诚意卖
21,连城新苑品质小区 双轨道交通 安静位置 诚意出售
22,新上飞机户型三房，婚房装修，边套带全明双卫，诚意卖
23,万人之上+冰厂田+好楼层+房龄新+便利近花园+双南户型
24,嘉宝紫提湾(公寓) 3室2厅 450万
25,50万精装不包实木软包电梯八楼景观房北公园南俯视北蔡
26,玫瑰湾满五唯一，精装楼层佳，价可谈诚售，看房方便
27,放慢脚步，在房子里享受温暖，坐等你来！
28,稀有j1户型，南北通，自住精装，高区采光好，近别墅区
29,内环内 临滨江  精装修 电梯  在建14/18号线 出门即到
30,妙栏小区，4楼精装，不靠马路，近地铁
31,位置好 沿河景观房/房东诚意出售 离地铁站近
32,房子自住保养蛮好 满三年  南北通透
33,南北三房+采光通风极好+业主诚意出售的必看好房
34,森兰社区 地铁沿线 南北户型中间楼层位置诚意出售
35,杨思前滩CBD+中环内精装修带地暖+全明户型落地窗花园
36,必看好房！边套全明 精装修 满五唯一 近地铁
37,南北两房 中间楼层 1号线800米 交通方便 随时看房
38,店长主推+中间楼层+户型正气+业主诚售
39,高区视野无遮挡，双南两房，产权清晰，税费少
40,4号10号线旁海伦路站全明三房，满两年 地段好位置佳
41,新出笋盘+双南户型+一梯两户+装修清爽+诚心出售
42,宝仪花苑 3室1厅 528万
43,低调简欧装修，全明户型，采光效果佳，业主诚意出售
44,新凯二期 次顶楼 业主诚售 精心设计改装 方便看房
45,南北两房 中间四楼 产权清晰 看房方便
46,此房满五年，前后无遮挡，到价签字，诚意出售
47,三林版块+户型方正，南北板式两房，小区配套齐全地铁
48,无增值税和个税+ 婚房装修+电梯高层无遮挡
49,诚心出售，南北通风无遮挡，精装修可领包入住
50,交通便利，邻地铁和万达广场，双南，精装修
51,南北通+小户型+总价低+楼层好+采光足+小区中间位置
52,欧式建筑，得房率高，一梯三户，小区品质高
53,边套全明户型，中间楼层，装修好，诚意出售，看房方便
54,房子满五唯一，一南一北户型，采光好，通风好
55,近九号线，公交底站，交通便利，诚心出售
56,浦江世博家园七街坊，近地铁，户型方正，诚心出售
57,动迁满五唯一 精装南北两房 生活便利 交通方便
58,北虹桥+三轨交通+二甲医院+总价低+诚意出售
59,小区中间位置、双南全明户型，13号线和18号线双轨。
60,新上！全明带天井的两房，满五唯一，看房方便
61,13年新小区，近地铁，业主诚意出售，看房方便
62,动迁房满五唯一，装修好，对口适存！
63,绿中海明苑(公寓) 3室2厅 380万
64,田林十二村 2室1厅 410万
65,中山公园满五唯一  南北一梯两户中间楼层   急售
66,近地铁，精装修，采光充足，格局明亮
67,新静安二楼两室一厅，精装修，全明户型，双南双阳台
68,一楼带天井鱼池，满五唯一精装自住大两房
69,此房带露台，双南户型，格局方正，一梯一户
70,总价底 双南 精装 急售 可看可签
71,三江小区 2室1厅 480万
72,近地铁+精装修+低总价+小区中间位置+诚意出售
73,老业主委托，钥匙随时看房，低总低
74,2号线世纪公园近地铁口+双南全明无遮挡
75,房东诚售，三街坊经典南北两房，位置好，楼层好
76,双南两室，楼层好，采光佳，视野开阔，无险恶设施
77,惊现平地一两房、中规中矩带阳台
